,citycode,VAR21,Year,Month,Day,incidence_n
889,110000,FLU,2019,1,1,6
890,110000,FLU,2019,1,2,2
891,110000,FLU,2019,1,3,1
892,110000,FLU,2019,1,4,12
893,110000,FLU,2019,1,5,14
894,110000,FLU,2019,1,6,8
895,110000,FLU,2019,1,7,9
896,110000,FLU,2019,1,8,16
897,110000,FLU,2019,1,9,3
898,110000,FLU,2019,1,10,7
899,110000,FLU,2019,1,11,19
900,110000,FLU,2019,1,12,11
901,110000,FLU,2019,1,13,11
902,110000,FLU,2019,1,14,12
903,110000,FLU,2019,1,15,13
904,110000,FLU,2019,1,16,2
905,110000,FLU,2019,1,17,4
906,110000,FLU,2019,1,18,14
907,110000,FLU,2019,1,19,13
908,110000,FLU,2019,1,20,15
909,110000,FLU,2019,1,21,10
910,110000,FLU,2019,1,22,7
911,110000,FLU,2019,1,23,2
912,110000,FLU,2019,1,24,2
913,110000,FLU,2019,1,25,10
914,110000,FLU,2019,1,26,9
915,110000,FLU,2019,1,27,6
916,110000,FLU,2019,1,28,6
917,110000,FLU,2019,1,29,7
918,110000,FLU,2019,1,30,1
919,110000,FLU,2019,1,31,7
920,110000,FLU,2019,2,1,12
921,110000,FLU,2019,2,2,5
922,110000,FLU,2019,2,3,5
923,110000,FLU,2019,2,4,5
924,110000,FLU,2019,2,5,2
925,110000,FLU,2019,2,6,1
926,110000,FLU,2019,2,8,3
927,110000,FLU,2019,2,9,2
928,110000,FLU,2019,2,10,3
929,110000,FLU,2019,2,12,2
930,110000,FLU,2019,2,14,3
931,110000,FLU,2019,2,15,8
932,110000,FLU,2019,2,16,12
933,110000,FLU,2019,2,17,6
934,110000,FLU,2019,2,18,11
935,110000,FLU,2019,2,19,10
936,110000,FLU,2019,2,20,6
937,110000,FLU,2019,2,21,3
938,110000,FLU,2019,2,22,17
939,110000,FLU,2019,2,23,17
940,110000,FLU,2019,2,24,13
941,110000,FLU,2019,2,25,12
942,110000,FLU,2019,2,26,10
943,110000,FLU,2019,2,27,2
944,110000,FLU,2019,2,28,6
945,110000,FLU,2019,2,29,16
946,110000,FLU,2019,3,1,13
947,110000,FLU,2019,3,2,13
948,110000,FLU,2019,3,3,11
949,110000,FLU,2019,3,4,14
950,110000,FLU,2019,3,6,4
951,110000,FLU,2019,3,7,15
952,110000,FLU,2019,3,8,11
953,110000,FLU,2019,3,9,13
954,110000,FLU,2019,3,10,8
955,110000,FLU,2019,3,11,13
956,110000,FLU,2019,3,12,2
957,110000,FLU,2019,3,13,3
958,110000,FLU,2019,3,14,18
959,110000,FLU,2019,3,15,10
960,110000,FLU,2019,3,16,9
961,110000,FLU,2019,3,17,12
962,110000,FLU,2019,3,18,17
963,110000,FLU,2019,3,19,2
964,110000,FLU,2019,3,20,3
965,110000,FLU,2019,3,21,17
966,110000,FLU,2019,3,22,12
967,110000,FLU,2019,3,23,10
968,110000,FLU,2019,3,24,11
969,110000,FLU,2019,3,25,8
970,110000,FLU,2019,3,26,4
971,110000,FLU,2019,3,27,10
972,110000,FLU,2019,3,28,18
973,110000,FLU,2019,3,29,9
974,110000,FLU,2019,3,30,16
975,110000,FLU,2019,3,31,9
976,110000,FLU,2019,4,1,24
977,110000,FLU,2019,4,2,3
978,110000,FLU,2019,4,3,4
979,110000,FLU,2019,4,4,5
980,110000,FLU,2019,4,5,11
981,110000,FLU,2019,4,6,9
982,110000,FLU,2019,4,7,15
983,110000,FLU,2019,4,8,10
984,110000,FLU,2019,4,9,2
985,110000,FLU,2019,4,10,6
986,110000,FLU,2019,4,11,28
987,110000,FLU,2019,4,12,9
988,110000,FLU,2019,4,13,15
989,110000,FLU,2019,4,14,14
990,110000,FLU,2019,4,15,10
991,110000,FLU,2019,4,16,5
992,110000,FLU,2019,4,17,3
993,110000,FLU,2019,4,18,24
994,110000,FLU,2019,4,19,10
995,110000,FLU,2019,4,20,10
996,110000,FLU,2019,4,21,10
997,110000,FLU,2019,4,22,6
998,110000,FLU,2019,4,23,4
999,110000,FLU,2019,4,24,5
1000,110000,FLU,2019,4,25,12
1001,110000,FLU,2019,4,26,8
1002,110000,FLU,2019,4,27,13
1003,110000,FLU,2019,4,28,9
1004,110000,FLU,2019,4,29,7
1005,110000,FLU,2019,4,30,3
1006,110000,FLU,2019,5,1,13
1007,110000,FLU,2019,5,2,4
1008,110000,FLU,2019,5,3,16
1009,110000,FLU,2019,5,4,14
1010,110000,FLU,2019,5,5,8
1011,110000,FLU,2019,5,6,7
1012,110000,FLU,2019,5,7,1
1013,110000,FLU,2019,5,8,1
1014,110000,FLU,2019,5,9,14
1015,110000,FLU,2019,5,10,11
1016,110000,FLU,2019,5,11,11
1017,110000,FLU,2019,5,12,7
1018,110000,FLU,2019,5,13,13
1019,110000,FLU,2019,5,14,1
1020,110000,FLU,2019,5,15,3
1021,110000,FLU,2019,5,16,22
1022,110000,FLU,2019,5,17,17
1023,110000,FLU,2019,5,18,10
1024,110000,FLU,2019,5,19,13
1025,110000,FLU,2019,5,20,13
1026,110000,FLU,2019,5,21,1
1027,110000,FLU,2019,5,22,5
1028,110000,FLU,2019,5,23,14
1029,110000,FLU,2019,5,24,7
1030,110000,FLU,2019,5,25,22
1031,110000,FLU,2019,5,26,11
1032,110000,FLU,2019,5,27,8
1033,110000,FLU,2019,5,28,5
1034,110000,FLU,2019,5,29,6
1035,110000,FLU,2019,5,30,20
1036,110000,FLU,2019,5,31,7
1037,110000,FLU,2019,6,1,21
1038,110000,FLU,2019,6,2,9
1039,110000,FLU,2019,6,3,12
1040,110000,FLU,2019,6,4,3
1041,110000,FLU,2019,6,5,3
1042,110000,FLU,2019,6,6,17
1043,110000,FLU,2019,6,7,15
1044,110000,FLU,2019,6,8,10
1045,110000,FLU,2019,6,9,4
1046,110000,FLU,2019,6,10,2
1047,110000,FLU,2019,6,11,1
1048,110000,FLU,2019,6,12,14
1049,110000,FLU,2019,6,13,6
1050,110000,FLU,2019,6,14,10
1051,110000,FLU,2019,6,15,16
1052,110000,FLU,2019,6,16,9
1053,110000,FLU,2019,6,17,8
1054,110000,FLU,2019,6,18,5
1055,110000,FLU,2019,6,19,1
1056,110000,FLU,2019,6,20,20
1057,110000,FLU,2019,6,21,11
1058,110000,FLU,2019,6,22,12
1059,110000,FLU,2019,6,23,10
1060,110000,FLU,2019,6,24,7
1061,110000,FLU,2019,6,25,2
1062,110000,FLU,2019,6,26,6
1063,110000,FLU,2019,6,27,12
1064,110000,FLU,2019,6,28,8
1065,110000,FLU,2019,6,29,9
1066,110000,FLU,2019,6,30,7
1067,110000,FLU,2019,7,1,11
1068,110000,FLU,2019,7,2,2
1069,110000,FLU,2019,7,3,8
1070,110000,FLU,2019,7,4,14
1071,110000,FLU,2019,7,5,8
1072,110000,FLU,2019,7,6,8
1073,110000,FLU,2019,7,7,16
1074,110000,FLU,2019,7,8,9
1075,110000,FLU,2019,7,9,4
1076,110000,FLU,2019,7,10,10
1077,110000,FLU,2019,7,11,22
1078,110000,FLU,2019,7,12,9
1079,110000,FLU,2019,7,13,10
1080,110000,FLU,2019,7,14,6
1081,110000,FLU,2019,7,15,4
1082,110000,FLU,2019,7,16,1
1083,110000,FLU,2019,7,17,3
1084,110000,FLU,2019,7,18,17
1085,110000,FLU,2019,7,19,16
1086,110000,FLU,2019,7,20,6
1087,110000,FLU,2019,7,21,8
1088,110000,FLU,2019,7,22,5
1089,110000,FLU,2019,7,23,4
1090,110000,FLU,2019,7,24,2
1091,110000,FLU,2019,7,25,11
1092,110000,FLU,2019,7,26,11
1093,110000,FLU,2019,7,27,9
1094,110000,FLU,2019,7,28,14
1095,110000,FLU,2019,7,29,11
1096,110000,FLU,2019,7,30,6
1097,110000,FLU,2019,7,31,3
1098,110000,FLU,2019,8,1,14
1099,110000,FLU,2019,8,2,12
1100,110000,FLU,2019,8,3,8
1101,110000,FLU,2019,8,4,7
1102,110000,FLU,2019,8,5,13
1103,110000,FLU,2019,8,6,5
1104,110000,FLU,2019,8,7,4
1105,110000,FLU,2019,8,8,11
1106,110000,FLU,2019,8,9,10
1107,110000,FLU,2019,8,10,9
1108,110000,FLU,2019,8,11,9
1109,110000,FLU,2019,8,12,10
1110,110000,FLU,2019,8,13,2
1111,110000,FLU,2019,8,14,1
1112,110000,FLU,2019,8,15,12
1113,110000,FLU,2019,8,16,8
