"","citycode","Year","Month","Day","Pre","p1"
"1",110000,2019,1,1,0,0
"2",110000,2019,1,2,0,0
"3",110000,2019,1,3,0,0
"4",110000,2019,1,4,0.06707308,0
"5",110000,2019,1,5,0,0
"6",110000,2019,1,6,0,0
"7",110000,2019,1,7,0,0
"8",110000,2019,1,8,0,0
"9",110000,2019,1,9,0,0
"10",110000,2019,1,10,0,0
"11",110000,2019,1,11,0,0
"12",110000,2019,1,12,0,0
"13",110000,2019,1,13,0.00614333,0
"14",110000,2019,1,14,0.348508105,0
"15",110000,2019,1,15,0.117780733,0
"16",110000,2019,1,16,0.000151065,0
"17",110000,2019,1,17,0.348558458,0
"18",110000,2019,1,18,0.012034884,0
"19",110000,2019,1,19,0,0
"20",110000,2019,1,20,0,0
"21",110000,2019,1,21,0,0
"22",110000,2019,1,22,0,0
"23",110000,2019,1,23,0,0
"24",110000,2019,1,24,0.798381154,0
"25",110000,2019,1,25,0.000755327,0
"26",110000,2019,1,26,0.000352486,0
"27",110000,2019,1,27,0,0
"28",110000,2019,1,28,0.148598095,0
"29",110000,2019,1,29,0.000402841,0
"30",110000,2019,1,30,0,0
"31",110000,2019,1,31,0,0
"32",110000,2019,2,1,0.000201421,0
"33",110000,2019,2,2,0.158316642,0
"34",110000,2019,2,3,0.000553907,0
"35",110000,2019,2,4,0.00010071,0
"36",110000,2019,2,5,0,0
"37",110000,2019,2,6,0,0
"38",110000,2019,2,7,0.00926535,0
"39",110000,2019,2,8,0,0
"40",110000,2019,2,9,0,0
"41",110000,2019,2,10,0,0
"42",110000,2019,2,11,0,0
"43",110000,2019,2,12,0,0
"44",110000,2019,2,13,0,0
"45",110000,2019,2,14,0,0
"46",110000,2019,2,15,0.147389569,0
"47",110000,2019,2,16,0.001863141,0
"48",110000,2019,2,17,0,0
"49",110000,2019,2,18,0,0
"50",110000,2019,2,19,2.327315029,0
"51",110000,2019,2,20,3.162254019,0
"52",110000,2019,2,21,0.153230771,0
"53",110000,2019,2,22,0,0
"54",110000,2019,2,23,0,0
"55",110000,2019,2,24,0.098142219,0
"56",110000,2019,2,25,0,0
"57",110000,2019,2,26,0,0
"58",110000,2019,2,27,0.722294492,0
"59",110000,2019,2,28,0.782569634,0
"60",110000,2019,3,1,0,0
"61",110000,2019,3,2,0.006999368,0
"62",110000,2019,3,3,0,0
"63",110000,2019,3,4,0,0
"64",110000,2019,3,5,0,0
"65",110000,2019,3,6,0,0
"66",110000,2019,3,7,0,0
"67",110000,2019,3,8,0,0
"68",110000,2019,3,9,0,0
"69",110000,2019,3,10,0,0
"70",110000,2019,3,11,0,0
"71",110000,2019,3,12,0,0
"72",110000,2019,3,13,0,0
"73",110000,2019,3,14,0.048340959,0
"74",110000,2019,3,15,0.342465477,0
"75",110000,2019,3,16,0.002366693,0
"76",110000,2019,3,17,0,0
"77",110000,2019,3,18,0,0
