,citycode,Year,Month,Day,Pre
627884,110000,2019,1,1,0
635104,110000,2019,1,2,0
639661,110000,2019,1,3,0
643130,110000,2019,1,4,0.06707308
648106,110000,2019,1,5,0
650093,110000,2019,1,6,0
655099,110000,2019,1,7,0
660971,110000,2019,1,8,0
666701,110000,2019,1,9,0
670509,110000,2019,1,10,0
677620,110000,2019,1,11,0
679882,110000,2019,1,12,0
686850,110000,2019,1,13,0.00614333
689134,110000,2019,1,14,0.348508105
694820,110000,2019,1,15,0.117780733
699524,110000,2019,1,16,0.000151065
705448,110000,2019,1,17,0.348558458
708082,110000,2019,1,18,0.012034884
716814,110000,2019,1,19,0
719130,110000,2019,1,20,0
726254,110000,2019,1,21,0
727200,110000,2019,1,22,0
733731,110000,2019,1,23,0
736635,110000,2019,1,24,0.798381154
740789,110000,2019,1,25,0.000755327
747478,110000,2019,1,26,0.000352486
751751,110000,2019,1,27,0
759685,110000,2019,1,28,0.148598095
763758,110000,2019,1,29,0.000402841
765798,110000,2019,1,30,0
771737,110000,2019,1,31,0
778104,110000,2019,2,1,0.000201421
780548,110000,2019,2,2,0.158316642
786282,110000,2019,2,3,0.000553907
788829,110000,2019,2,4,0.00010071
796642,110000,2019,2,5,0
802367,110000,2019,2,6,0
805574,110000,2019,2,7,0.00926535
811597,110000,2019,2,8,0
816110,110000,2019,2,9,0
818851,110000,2019,2,10,0
824159,110000,2019,2,11,0
826994,110000,2019,2,12,0
832965,110000,2019,2,13,0
840572,110000,2019,2,14,0
844146,110000,2019,2,15,0.147389569
848684,110000,2019,2,16,0.001863141
852815,110000,2019,2,17,0
857126,110000,2019,2,18,0
861125,110000,2019,2,19,2.327315029
868937,110000,2019,2,20,3.162254019
874812,110000,2019,2,21,0.153230771
877608,110000,2019,2,22,0
882671,110000,2019,2,23,0
887555,110000,2019,2,24,0.098142219
891027,110000,2019,2,25,0
896303,110000,2019,2,26,0
901991,110000,2019,2,27,0.722294492
904153,110000,2019,2,28,0.782569634
909412,110000,2019,3,1,0
913671,110000,2019,3,2,0.006999368
918552,110000,2019,3,3,0
925041,110000,2019,3,4,0
931670,110000,2019,3,5,0
935991,110000,2019,3,6,0
938014,110000,2019,3,7,0
946198,110000,2019,3,8,0
947650,110000,2019,3,9,0
955946,110000,2019,3,10,0
958365,110000,2019,3,11,0
963963,110000,2019,3,12,0
968440,110000,2019,3,13,0
971046,110000,2019,3,14,0.048340959
977565,110000,2019,3,15,0.342465477
980374,110000,2019,3,16,0.002366693
985665,110000,2019,3,17,0
992783,110000,2019,3,18,0
998878,110000,2019,3,19,0
1003725,110000,2019,3,20,0
1006591,110000,2019,3,21,0
1011892,110000,2019,3,22,0
1016593,110000,2019,3,23,0
1019847,110000,2019,3,24,0
1026408,110000,2019,3,25,0.040032358
1029166,110000,2019,3,26,0
1036744,110000,2019,3,27,0
1038858,110000,2019,3,28,0.000704972
1042693,110000,2019,3,29,0.051211202
1050149,110000,2019,3,30,1.426763263
1054142,110000,2019,3,31,1.698932912
1060438,110000,2019,4,1,10.26832474
1061915,110000,2019,4,2,1.424597982
1069549,110000,2019,4,3,0.018379635
1074899,110000,2019,4,4,0.001158169
1077197,110000,2019,4,5,0
1082747,110000,2019,4,6,0
1089501,110000,2019,4,7,0
1090735,110000,2019,4,8,0.049599838
1095478,110000,2019,4,9,0.514931919
1101919,110000,2019,4,10,0.761219043
1106509,110000,2019,4,11,10.39617638
1110631,110000,2019,4,12,2.188536205
1117062,110000,2019,4,13,0
1123191,110000,2019,4,14,0
1125266,110000,2019,4,15,0.131880178
1131811,110000,2019,4,16,0
1133770,110000,2019,4,17,0.001007103
1140268,110000,2019,4,18,0.982479634
1144281,110000,2019,4,19,0
1149521,110000,2019,4,20,0.003927703
1156698,110000,2019,4,21,0.13404545
1158519,110000,2019,4,22,0
1162513,110000,2019,4,23,0
1169646,110000,2019,4,24,0
1174924,110000,2019,4,25,0
1176524,110000,2019,4,26,0.023415152
1184076,110000,2019,4,27,1.430338473
1187900,110000,2019,4,28,0.325596502
1194176,110000,2019,4,29,0
1197552,110000,2019,4,30,0
1204114,110000,2019,5,1,7.640590719
1206976,110000,2019,5,2,0.005085872
1211823,110000,2019,5,3,0
1217392,110000,2019,5,4,0
1220528,110000,2019,5,5,0
1224742,110000,2019,5,6,0.48502095
1233662,110000,2019,5,7,1.933789414
1238407,110000,2019,5,8,1.757143494
1242815,110000,2019,5,9,3.216536871
1248032,110000,2019,5,10,18.23541826
1250438,110000,2019,5,11,0.184753102
1253563,110000,2019,5,12,0.048743801
1259240,110000,2019,5,13,0
1264533,110000,2019,5,14,0.655171058
1270883,110000,2019,5,15,0.001510655
1274125,110000,2019,5,16,0
1279067,110000,2019,5,17,4.919548659
1281831,110000,2019,5,18,0.000302131
1288370,110000,2019,5,19,0
1294726,110000,2019,5,20,0.000352486
1296242,110000,2019,5,21,0.000302131
1301348,110000,2019,5,22,0.003978058
1306444,110000,2019,5,23,0.307821124
1314707,110000,2019,5,24,0.235158624
1320202,110000,2019,5,25,0
1322993,110000,2019,5,26,0
1326216,110000,2019,5,27,0
1332039,110000,2019,5,28,5.351495213
1335614,110000,2019,5,29,0.216728633
1341437,110000,2019,5,30,0.111889178
1346080,110000,2019,5,31,0.172063602
1351467,110000,2019,6,1,1.021454547
1354722,110000,2019,6,2,0
1358761,110000,2019,6,3,0.373484263
1366263,110000,2019,6,4,12.8970154
1372578,110000,2019,6,5,0.711518486
1374320,110000,2019,6,6,2.980169724
1378763,110000,2019,6,7,0.326805023
1383346,110000,2019,6,8,0.248250968
1389063,110000,2019,6,9,0.832270182
1393574,110000,2019,6,10,4.840893874
1399898,110000,2019,6,11,0.587896557
1403950,110000,2019,6,12,0.637748173
1408641,110000,2019,6,13,1.347957416
1415041,110000,2019,6,14,0.050858718
1416734,110000,2019,6,15,0.684930965
1421365,110000,2019,6,16,1.433661911
1426210,110000,2019,6,17,4.252745511
1434896,110000,2019,6,18,1.271316863
1437821,110000,2019,6,19,3.247455005
1442452,110000,2019,6,20,5.04E-05
1445919,110000,2019,6,21,0.120600622
1452782,110000,2019,6,22,0.420717406
1456002,110000,2019,6,23,1.824065519
1460927,110000,2019,6,24,2.322631982
1465147,110000,2019,6,25,3.384622503
1471575,110000,2019,6,26,3.251382687
1476309,110000,2019,6,27,0.850146261
1482052,110000,2019,6,28,0.513874461
1482915,110000,2019,6,29,4.629049637
1488598,110000,2019,6,30,2.314877315
1495973,110000,2019,7,1,0.257516317
1500162,110000,2019,7,2,5.04E-05
1505141,110000,2019,7,3,0.135102908
1507694,110000,2019,7,4,2.631560942
1515506,110000,2019,7,5,0.058462347
1516628,110000,2019,7,6,0.014502288
1522000,110000,2019,7,7,0.089481129
1526886,110000,2019,7,8,0.002769534
1534423,110000,2019,7,9,0
1538219,110000,2019,7,10,0.165970631
1545126,110000,2019,7,11,0.157712378
1547961,110000,2019,7,12,0.004531965
1550134,110000,2019,7,13,1.007153661
1556544,110000,2019,7,14,2.667363496
1560651,110000,2019,7,15,6.180945501
1567682,110000,2019,7,16,13.08760954
1569948,110000,2019,7,17,13.8647913
1575794,110000,2019,7,18,14.45777385
1583450,110000,2019,7,19,22.70932346
1587181,110000,2019,7,20,3.460406973
1590804,110000,2019,7,21,5.987430612
1593901,110000,2019,7,22,9.996910273
1598351,110000,2019,7,23,4.068999498
1606095,110000,2019,7,24,1.837560702
1609862,110000,2019,7,25,0.252229023
1612885,110000,2019,7,26,1.703112424
1618353,110000,2019,7,27,14.21994618
1621957,110000,2019,7,28,9.395468234
1627357,110000,2019,7,29,14.84812689
1633016,110000,2019,7,30,35.96340748
1639172,110000,2019,7,31,2.585234185
1645157,110000,2019,8,1,12.97763404
1649060,110000,2019,8,2,0.800697503
1655021,110000,2019,8,3,2.410904621
1656456,110000,2019,8,4,5.04E-05
1663903,110000,2019,8,5,6.121022795
1665955,110000,2019,8,6,1.731563084
1671438,110000,2019,8,7,2.413623777
1678020,110000,2019,8,8,0.26028585
1682777,110000,2019,8,9,0.257818446
1688769,110000,2019,8,10,0.109220355
1693475,110000,2019,8,11,0.113248768
1693952,110000,2019,8,12,0.027594631
1701859,110000,2019,8,13,0.058663768
1704256,110000,2019,8,14,0.00010071
1711715,110000,2019,8,15,0
1716352,110000,2019,8,16,0.05594459
1719808,110000,2019,8,17,2.075237076
1724589,110000,2019,8,18,4.382561108
1727747,110000,2019,8,19,18.93590884
1732883,110000,2019,8,20,0.383404228
1739865,110000,2019,8,21,0.114004093
1743734,110000,2019,8,22,3.308032251
1750577,110000,2019,8,23,7.861649786
1753432,110000,2019,8,24,1.535026871
1756612,110000,2019,8,25,0.507680779
1762883,110000,2019,8,26,2.829003513
1767904,110000,2019,8,27,3.416195132
1773257,110000,2019,8,28,1.521682734
1775645,110000,2019,8,29,12.81513784
1780367,110000,2019,8,30,15.55939352
1789139,110000,2019,8,31,19.13732963
1793814,110000,2019,9,1,7.824286361
1796895,110000,2019,9,2,0.150360525
1801065,110000,2019,9,3,0.369858692
1808407,110000,2019,9,4,36.61540599
1809432,110000,2019,9,5,11.80410685
1816210,110000,2019,9,6,0.036759271
1818380,110000,2019,9,7,0.020796684
1825122,110000,2019,9,8,0.04239905
1829396,110000,2019,9,9,1.146788536
1833973,110000,2019,9,10,9.099329485
1839234,110000,2019,9,11,0.357068483
1843343,110000,2019,9,12,0
1847869,110000,2019,9,13,0
1856202,110000,2019,9,14,0.000201421
1860481,110000,2019,9,15,0
1865852,110000,2019,9,16,0
1867135,110000,2019,9,17,3.456328198
1874496,110000,2019,9,18,0.175991301
1876357,110000,2019,9,19,0.004380899
1883458,110000,2019,9,20,0.139937007
1887968,110000,2019,9,21,0.036859982
1892003,110000,2019,9,22,5.627089051
1897686,110000,2019,9,23,0.088876867
1899879,110000,2019,9,24,8.141121066
1906106,110000,2019,9,25,5.04E-05
1910315,110000,2019,9,26,0.025530069
1914276,110000,2019,9,27,3.269510577
1919109,110000,2019,9,28,4.751664492
1925775,110000,2019,9,29,10.28740927
1930683,110000,2019,9,30,8.011960062
1936257,110000,2019,10,1,0
1942150,110000,2019,10,2,0
1944387,110000,2019,10,3,0.001359589
1950585,110000,2019,10,4,0.004028413
1953823,110000,2019,10,5,0
1961365,110000,2019,10,6,0
1965854,110000,2019,10,7,0.965358874
1968521,110000,2019,10,8,0
1974859,110000,2019,10,9,0.010272454
1976958,110000,2019,10,10,0.002366693
1981586,110000,2019,10,11,0
1986979,110000,2019,10,12,0
1993328,110000,2019,10,13,0.066569528
1998931,110000,2019,10,14,0.351630123
2003366,110000,2019,10,15,0
2007361,110000,2019,10,16,0
2010261,110000,2019,10,17,0.086056979
2019027,110000,2019,10,18,0.00156101
2020331,110000,2019,10,19,0.034795419
2025698,110000,2019,10,20,7.883101176
2030195,110000,2019,10,21,11.07994924
2034432,110000,2019,10,22,1.182490356
2039309,110000,2019,10,23,0.000251776
2043272,110000,2019,10,24,0
2048327,110000,2019,10,25,1.97427498
2052733,110000,2019,10,26,0.136059657
2062097,110000,2019,10,27,0.002114917
2065823,110000,2019,10,28,0
2067893,110000,2019,10,29,0
2073479,110000,2019,10,30,0
2078388,110000,2019,10,31,0
2081646,110000,2019,11,1,0
2088042,110000,2019,11,2,0
2091023,110000,2019,11,3,0
2098887,110000,2019,11,4,0.601240674
2103670,110000,2019,11,5,8.344203475
2108600,110000,2019,11,6,14.10483424
2110694,110000,2019,11,7,0.273529258
2119638,110000,2019,11,8,0.044866453
2124463,110000,2019,11,9,0.087769054
2126510,110000,2019,11,10,0.936908207
2130622,110000,2019,11,11,0.228108899
2135791,110000,2019,11,12,0.2470928
2143490,110000,2019,11,13,0.301778506
2147594,110000,2019,11,14,0.018429991
2150393,110000,2019,11,15,1.921804874
2157887,110000,2019,11,16,0.050758007
2159171,110000,2019,11,17,1.100663209
2164313,110000,2019,11,18,0.36754235
2168027,110000,2019,11,19,8.772222342
2173316,110000,2019,11,20,6.283065813
2180362,110000,2019,11,21,6.243234811
2183647,110000,2019,11,22,8.05642361
2190635,110000,2019,11,23,0.016113653
2194996,110000,2019,11,24,0.991644273
2198846,110000,2019,11,25,0.013847671
2202607,110000,2019,11,26,0.006797947
2206840,110000,2019,11,27,0.076539851
2214548,110000,2019,11,28,0.170401881
2215800,110000,2019,11,29,0
2224197,110000,2019,11,30,0.169495487
2225538,110000,2019,12,1,0.195327688
2233542,110000,2019,12,2,0.009416416
2235706,110000,2019,12,3,0.000201421
2239965,110000,2019,12,4,0
2246919,110000,2019,12,5,0
2251024,110000,2019,12,6,0.221310951
2254690,110000,2019,12,7,0.023868349
2260652,110000,2019,12,8,1.270460819
2267551,110000,2019,12,9,0.018278925
2271236,110000,2019,12,10,0.00010071
2275887,110000,2019,12,11,0
2278739,110000,2019,12,12,0
2285255,110000,2019,12,13,1.792341764
2291896,110000,2019,12,14,0.037413888
2295462,110000,2019,12,15,0.005085872
2297865,110000,2019,12,16,0.00010071
2304571,110000,2019,12,17,0
2310649,110000,2019,12,18,0
2312402,110000,2019,12,19,0
2320088,110000,2019,12,20,0.002215627
2323290,110000,2019,12,21,0
2327882,110000,2019,12,22,0
2333746,110000,2019,12,23,0.000755327
2337877,110000,2019,12,24,0.000251776
2343409,110000,2019,12,25,0
2349359,110000,2019,12,26,0.149353421
2351529,110000,2019,12,27,0.01072565
2354804,110000,2019,12,28,0
2363507,110000,2019,12,29,0.026386107
2364542,110000,2019,12,30,0
2370619,110000,2019,12,31,0
627286,120000,2019,1,1,0
633398,120000,2019,1,2,0
635575,120000,2019,1,3,0
640743,120000,2019,1,4,0.019096052
646825,120000,2019,1,5,0.03491673
651779,120000,2019,1,6,0
657593,120000,2019,1,7,0
661743,120000,2019,1,8,0
668123,120000,2019,1,9,0
671461,120000,2019,1,10,0
675489,120000,2019,1,11,0
680851,120000,2019,1,12,0
684832,120000,2019,1,13,0
692765,120000,2019,1,14,0.570409578
694304,120000,2019,1,15,0.124958633
699339,120000,2019,1,16,0
703527,120000,2019,1,17,0.247259887
711891,120000,2019,1,18,0.052096997
716632,120000,2019,1,19,0
717139,120000,2019,1,20,0
724842,120000,2019,1,21,0
728358,120000,2019,1,22,0
734260,120000,2019,1,23,0
740745,120000,2019,1,24,1.297233751
741919,120000,2019,1,25,0
747725,120000,2019,1,26,0.000432597
753103,120000,2019,1,27,0
758841,120000,2019,1,28,0.075828012
760302,120000,2019,1,29,0.012050907
765876,120000,2019,1,30,0
772579,120000,2019,1,31,0
777142,120000,2019,2,1,0
780926,120000,2019,2,2,0.007292344
785614,120000,2019,2,3,0
791827,120000,2019,2,4,0
797082,120000,2019,2,5,0
798245,120000,2019,2,6,0
805897,120000,2019,2,7,0.001915785
811927,120000,2019,2,8,0
816212,120000,2019,2,9,0
819260,120000,2019,2,10,0
826793,120000,2019,2,11,0
830049,120000,2019,2,12,0
